[23Dec2024 00:00:06.500] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-4, 12], pos: MutableBlockPos{x=-49, y=72, z=192}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.332] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 24], pos: MutableBlockPos{x=-416, y=45, z=384}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.332] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=48, z=376}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.332] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=47, z=376}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.332] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=47, z=377}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.333] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=46, z=377}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.333] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=45, z=377}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.333] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=48, z=372}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.333] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=47, z=372}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.333] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=46, z=372}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.333] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=48, z=372}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.333] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=47, z=372}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.333] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=46, z=372}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.333] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=48, z=373}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.333] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=47, z=373}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.333] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=46, z=373}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.333] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=48, z=373}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.333] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=47, z=373}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.333] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=46, z=373}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.333] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=48, z=374}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.334] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=47, z=374}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.334] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=46, z=374}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.334] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=48, z=374}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.334] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=47, z=374}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.334] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=46, z=374}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.334] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-414, y=48, z=374}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.334] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=48, z=375}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.334] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=47, z=375}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.334] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=46, z=375}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.334] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=48, z=375}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.334] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=47, z=375}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.334] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=46, z=375}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.334] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=48, z=376}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.334] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=47, z=376}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.335] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=48, z=376}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.335] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=47, z=376}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.335] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=46, z=376}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.335] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=47, z=374}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.335] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=46, z=374}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.335] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=45, z=374}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.335] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=47, z=375}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.335] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=46, z=375}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.335] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=45, z=375}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.335] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=47, z=375}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.335] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=46, z=375}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.335] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=45, z=375}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.335] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=47, z=376}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.335] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=47, z=376}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.335] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=46, z=376}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.336] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=45, z=376}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.336] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=47, z=377}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.336] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=46, z=377}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.336] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=45, z=377}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.336] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=47, z=377}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.336] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=46, z=377}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.336] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=45, z=377}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.336] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-414, y=47, z=377}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.336] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-414, y=46, z=377}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.336] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-414, y=45, z=377}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.336] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=47, z=378}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.336] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=46, z=378}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.336] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=45, z=378}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.336] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=47, z=379}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.336] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=46, z=379}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.337] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=45, z=379}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.337] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=47, z=379}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.337] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=46, z=379}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.337] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-415, y=45, z=379}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.337] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=47, z=380}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.337] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=46, z=380}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.337] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=45, z=380}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.337] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=47, z=377}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.337] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=46, z=377}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.337] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=45, z=377}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:02.337] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-26, 23], pos: MutableBlockPos{x=-416, y=45, z=381}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:03.125] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-28, 28], pos: MutableBlockPos{x=-448, y=93, z=457}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:03.126] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-28, 28], pos: MutableBlockPos{x=-447, y=92, z=457}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:03.126] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-28, 29], pos: MutableBlockPos{x=-448, y=91, z=465}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:03.208] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-29, 27], pos: MutableBlockPos{x=-456, y=57, z=433}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:03.209] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-29, 27], pos: MutableBlockPos{x=-464, y=58, z=433}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:03.209] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-29, 27], pos: MutableBlockPos{x=-459, y=56, z=432}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:03.209] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-29, 27], pos: MutableBlockPos{x=-455, y=57, z=432}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:04:03.545] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-28, 24], pos: MutableBlockPos{x=-446, y=64, z=384}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[23Dec2024 00:04:03.545] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-28, 24], pos: MutableBlockPos{x=-446, y=63, z=384}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[23Dec2024 00:04:03.545] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-28, 24], pos: MutableBlockPos{x=-446, y=62, z=384}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[23Dec2024 00:04:03.546] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-28, 24], pos: MutableBlockPos{x=-445, y=64, z=384}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[23Dec2024 00:04:03.546] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-28, 24], pos: MutableBlockPos{x=-445, y=63, z=384}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[23Dec2024 00:04:03.546] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-28, 24], pos: MutableBlockPos{x=-445, y=62, z=384}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[23Dec2024 00:04:03.546] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-28, 24], pos: MutableBlockPos{x=-444, y=64, z=384}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[23Dec2024 00:04:03.546] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-28, 24], pos: MutableBlockPos{x=-444, y=63, z=384}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[23Dec2024 00:04:03.546] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-28, 24], pos: MutableBlockPos{x=-444, y=62, z=384}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
